"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1099410,"Lost Injured Missing","06/15/2008",2,"Male","White","Copperas Cove","TX","76522","Sedan, 2 door","Maroon"
1100742,"Lost Injured Missing","06/09/2008",2,"Female","White","Orlando","FL","32812",NA,NA
1107030,"Lost Injured Missing","10/02/2008",2,"Female","White","Detroit","MI",NA,NA,NA
1124870,"Lost Injured Missing","06/12/2009",2,"Female","Hispanic","Royal Palm Beach","FL","33411","Sedan, 2 door","Dark"
1129602,"Lost Injured Missing","07/01/2009",2,"Female","White","Elizabeth City","NC","27909","Van",NA
1133050,"Lost Injured Missing","03/26/2009",2,"Male","Biracial","Malden","WA","99170",NA,NA
1133050,"Lost Injured Missing","03/26/2009",2,"Male","Biracial","Malden","WA","99170",NA,NA
1134329,"Lost Injured Missing","10/18/2009",2,"Female","Black","Haines City","FL",NA,NA,NA
1136265,"Lost Injured Missing","11/27/2009",2,"Male","Hispanic","Valrico","FL",NA,NA,NA
1139243,"Lost Injured Missing","01/14/2010",2,"Male","Black","Roanoke","VA",NA,"Sport Utility","White"
1152722,"Lost Injured Missing","07/25/2010",2,"Male","White","Rimrock","AZ","86335",NA,NA
1153395,"Lost Injured Missing","08/02/2010",2,"Male","White","Humboldt","AZ","86329",NA,NA
1157877,"Lost Injured Missing","10/09/2010",2,"Male","White","Richmond","NH","03470",NA,NA
1158148,"Lost Injured Missing","10/11/2010",2,"Female","Biracial","Union","SC",NA,NA,NA
1172047,"Lost Injured Missing","05/03/2011",2,"Male","Black","Shelbyville","IN","46176","Sedan, 4 door","Black"
1172047,"Lost Injured Missing","05/03/2011",2,"Male","Black","Shelbyville","IN","46176","Sport Utility","White"
1172382,"Lost Injured Missing","05/20/2011",2,"Female","White","McKinleyville","CA","95519","Sedan, 4 door","Silver"
1172627,"Lost Injured Missing","05/21/2011",2,"Female","Hispanic","Buda","TX","78610","Truck","White"
1183128,"Lost Injured Missing","11/06/2011",2,"Male","White","Bellevue","WA",NA,NA,NA
1190402,"Lost Injured Missing","07/01/2008",2,"Male","Hispanic","Laredo","TX","78043",NA,NA
1191560,"Lost Injured Missing","03/27/2012",2,"Male","White","Cleveland","TX",NA,NA,NA
1192176,"Lost Injured Missing","04/04/2012",2,"Female","Biracial","Fairfield","CA","94533",NA,NA
1192317,"Lost Injured Missing","04/04/2012",2,"Male","Biracial","Hutchinson","MN","55350","Sedan, 2 door","Silver"
1192317,"Lost Injured Missing","04/04/2012",2,"Male","Biracial","Hutchinson","MN","55350","Sedan, 2 door","Silver"
1193809,"Lost Injured Missing","04/19/2012",2,"Female","White","Rockport","MA","01966",NA,NA
1197097,"Lost Injured Missing","06/13/2012",2,"Male","Biracial","Ripley","TN","38063",NA,"Gray"
1204111,"Lost Injured Missing","10/06/2012",2,"Female","White","Wauconda","IL","60084",NA,"Black"
1209035,"Lost Injured Missing","01/13/2013",2,"Female","White","Immokalee","FL","34142",NA,NA
1220578,"Lost Injured Missing","08/03/2013",2,"Male","Black","Durham","NC",NA,NA,NA
1221144,"Lost Injured Missing","08/13/2013",2,"Male","Black","Tampa","FL","33605",NA,NA
1223225,"Lost Injured Missing","09/24/2013",2,"Male","White","Woodstock","VA","22664",NA,NA
1223843,"Lost Injured Missing","10/08/2013",2,"Female","White","Paris","MI","49338",NA,NA
1225073,"Lost Injured Missing","11/07/2013",2,"Male","Hispanic","Oakland","CA","94611",NA,NA
1227795,"Lost Injured Missing","01/23/2014",2,"Male","Hispanic","Tenaha","TX",NA,NA,"Black"
1229163,"Lost Injured Missing","03/01/2014",2,"Female","Black","Camden","MS",NA,NA,NA
1229163,"Lost Injured Missing","03/01/2014",2,"Female","Black","Camden","MS",NA,NA,NA
1234229,"Lost Injured Missing","06/24/2014",2,"Male","White","Estero","FL","33928",NA,NA
1237329,"Lost Injured Missing","09/03/2014",2,"Female","White","Mount Sherman","KY","42764",NA,NA
1237561,"Lost Injured Missing","09/07/2014",2,"Male","Biracial","Gaithersburg","MD","20879",NA,NA
1237561,"Lost Injured Missing","09/07/2014",2,"Male","Biracial","Gaithersburg","MD","20879",NA,NA
1237561,"Lost Injured Missing","09/07/2014",2,"Male","Biracial","Gaithersburg","MD","20879",NA,NA
1237676,"Lost Injured Missing","09/03/2014",2,"Male","White","Austin","TX",NA,NA,NA
1240813,"Lost Injured Missing","11/23/2014",2,"Male","Biracial","Searcy","AR","72143",NA,NA
